year,ret,cagr,sharpe,mdd,n,win,bnh,blocked
2021,0.0,0.0,0.0,0.0,0,0.0,409.1411076485703,True
2022,7.37237004065836,7.3933547466944916,0.3735141754635769,-25.866976191780548,97,0.4329896907216495,-67.56792631721522,False
2023,12.175669769459162,12.21108340401269,0.0,0.0,1,1.0,92.5446492116787,False
2024,0.0,0.0,0.0,0.0,0,0.0,46.26167614390317,False
2025,20.933504233186227,20.996668829118438,0.8110160236363287,-23.511010194548817,41,0.4634146341463415,-11.421401684889766,False
2026,-6.4181564884709275,-19.44073965199583,-0.7121155797131284,-15.81096120743935,13,0.38461538461538464,-20.689411764705888,False
